destination_id,name,category,start_date,end_date,location,description
2,Rome Emperors v. Bowling Green Hot Rods,Sports,2025-08-12,2025-08-12,AdventHealth Stadium,"Full season, half season, and 10-ticket flex plan options are available. For more information, please contact (706) 378-5100. If you have a group of 20 or more, please contact (706) 378-5100 and one of our group representatives will get everything taken care of for you!"
2,Rome Emperors vs. Bowling Green Hot Rods,Sports,2025-08-13,2025-08-13,AdventHealth Stadium,
2,Rome Emperors v. Bowling Green Hot Rods,Sports,2025-08-13,2025-08-13,AdventHealth Stadium,"Full season, half season, and 10-ticket flex plan options are available. For more information, please contact (706) 378-5100. If you have a group of 20 or more, please contact (706) 378-5100 and one of our group representatives will get everything taken care of for you!"
2,Rome Emperors vs. Bowling Green Hot Rods,Sports,2025-08-14,2025-08-14,AdventHealth Stadium,
2,Rome Emperors v. Bowling Green Hot Rods,Sports,2025-08-14,2025-08-14,AdventHealth Stadium,"Full season, half season, and 10-ticket flex plan options are available. For more information, please contact (706) 378-5100. If you have a group of 20 or more, please contact (706) 378-5100 and one of our group representatives will get everything taken care of for you!"
2,Rome Emperors vs. Bowling Green Hot Rods,Sports,2025-08-15,2025-08-15,AdventHealth Stadium,
2,Rome Emperors v. Bowling Green Hot Rods,Sports,2025-08-15,2025-08-15,AdventHealth Stadium,"A Full Season Membership is the ultimate experience with incredible benefits that includes all 66 home games at AdventHealth Stadium. Whether it is for business or pleasure, Full Season Memberships can be used in so many ways for you, friends, family, and coworkers. Full Season Members are the lifeblood of the Rome Emperors organization. Be part of Emperors Nation and purchase your season tickets now! Full Season Members receive amazing benefits that no other membership or ticket plan can match. Receive exclusive access to AdventHealth Stadium, players, and coaches all summer long. Also includes: early access, member events, special drawings, unlimited popcorn, and more!"
3,Drake with PARTYNEXTDOOR: $ome $pecial $hows 4 EU,Music,2025-08-11,2025-08-11,Hallenstadion,
3,Drake with PARTYNEXTDOOR: $ome $pecial $hows 4 EU,Music,2025-08-12,2025-08-12,Hallenstadion,
3,Imperial Triumphant & Sigh,Music,2025-08-13,2025-08-13,,
3,David McCredie,Music,2025-09-07,2025-09-07,X-TRA Musikcafé,
3,Kevin Kaarl,Music,2025-09-07,2025-09-07,,
3,Sons Of The East,Music,2025-09-11,2025-09-11,Volkshaus Zürich,
3,DIKKA,Miscellaneous,2025-09-14,2025-09-14,,
3,Joe di Nardo „COMEDY al dente“,Arts & Theatre,2025-09-14,2025-09-14,"Volkshaus Zürich, Weisser Saal",
3,Yungpalo,Music,2025-09-20,2025-09-20,,
3,Lauren Spencer Smith - THE ART OF BEING A MESS TOUR,Music,2025-09-23,2025-09-23,,
3,Der Weg Einer Freiheit,Music,2025-09-25,2025-09-25,Dynamo Saal,
3,Paul Taylor,Arts & Theatre,2025-09-26,2025-09-26,,
3,Little Simz,Music,2025-09-26,2025-09-26,Halle 622,
3,Bleed From Within,Music,2025-09-28,2025-09-28,,
3,Nova Twins,Music,2025-09-29,2025-09-29,Komplex Klub,
3,The Offspring: Supercharged Worldwide in ’25 | With Simple Plan,Music,2025-09-30,2025-09-30,Hallenstadion,
3,FiNCH,Music,2025-10-02,2025-10-02,Halle 622,
3,Disturbed: The Sickness 25th Anniversary Tour | Enhanced Experiences,Music,2025-10-04,2025-10-04,Hallenstadion,
3,Disturbed: The Sickness 25th Anniversary Tour | Megadeth Packages,Music,2025-10-04,2025-10-04,Hallenstadion,
3,Disturbed: The Sickness 25th Anniversary Tour,Music,2025-10-04,2025-10-04,Hallenstadion,
